gender,num_current_medications,miglitol,0.03197097880504966
readmitted,gender,num_previous_emergencies,0.07899191902897063
glipizide-metformin,glyburide,change_in_meds,0.11478982814363498
days_in_hospital,num_not_lab_procedures,glyburide,0.01392190535340562
glyburide,age,num_not_lab_procedures,0.05461882170572961
glyburide-metformin,nateglinide,insulin,0.04847320655740735
age,num_current_medications,metformin,0.028644605422071014
glyburide,race,nateglinide,0.019386906075350863
days_in_hospital,glyburide-metformin,change_in_meds,0.1025155807471823
diabetes_med_prescribed,metformin,miglitol,0.0318073704079824
gender,metformin,glyburide-metformin,0.04828059251967731
gender,glimepiride,pioglitazone,0.0256638802513467
glimepiride,gender,troglitazone,0.06697813675906111
days_in_hospital,glimepiride,diabetes_med_prescribed,0.09262043370633248
age,num_inpatient_overnight_stays,rosiglitazone,0.008449610884666205
acetohexamide,num_outpatient_appointments,chlorpropamide,1.680812351971662E-4
glyburide,pioglitazone,miglitol,0.03146307268330904
num_lab_procedures,num_not_lab_procedures,glyburide,0.02055938479929261
glipizide,num_lab_procedures,glipizide-metformin,0.040023077873723036
examide,acetohexamide,glyburide-metformin,0.001285300745209256
metformin-rosiglitazone,num_current_medications,readmitted,0.017212284525163712
change_in_meds,days_in_hospital,num_current_medications,0.42801997384854173
examide,tolbutamide,change_in_meds,0.013102847316990187
glipizide,acarbose,tolazamide,4.6212887985971603E-4
days_in_hospital,glipizide-metformin,metformin-pioglitazone,1.8609074260435682E-5
glipizide-metformin,repaglinide,diabetes_med_prescribed,0.045452635163426076
readmitted,race,num_outpatient_appointments,0.026729707273887494
rosiglitazone,num_inpatient_overnight_stays,metformin,0.03151265522302746
metformin-rosiglitazone,gender,tolbutamide,0.0017441953111803094
metformin-rosiglitazone,num_inpatient_overnight_stays,glyburide-metformin,0.0021285291310829185
race,num_current_medications,glipizide,0.06893524186416702
metformin-pioglitazone,num_not_lab_procedures,pioglitazone,0.008557731142234863
metformin-rosiglitazone,num_not_lab_procedures,metformin-pioglitazone,0.12788586349769707
num_current_medications,acarbose,troglitazone,5.79029908215589E-4
pioglitazone,glimepiride,glyburide-metformin,0.015054518494768389
glimepiride-pioglitazone,num_not_lab_procedures,metformin-pioglitazone,0.06394276674766221
metformin-rosiglitazone,race,gender,0.027316858932550394
num_current_medications,gender,diabetes_med_prescribed,0.035512604919246966
tolbutamide,race,glipizide-metformin,0.020607895795363894
glimepiride-pioglitazone,num_outpatient_appointments,diabetes_med_prescribed,0.027593234887858503
nateglinide,miglitol,change_in_meds,0.05142637033818807
num_current_medications,tolbutamide,miglitol,8.202315859831483E-5
gender,num_outpatient_appointments,glyburide-metformin,0.001440502500615259
gender,acarbose,glyburide-metformin,0.013936204561779266
examide,tolbutamide,troglitazone,6.282245533954187E-5
citoglipton,chlorpropamide,change_in_meds,0.15557063406280283
days_in_hospital,number_diagnoses,acarbose,0.037753518810218524
number_diagnoses,repaglinide,change_in_meds,0.15202710121045535
glyburide-metformin,glyburide,insulin,0.03696612664738446
glimepiride-pioglitazone,num_outpatient_appointments,chlorpropamide,1.680812351971662E-4
number_diagnoses,days_in_hospital,num_lab_procedures,0.0549615009520104
pioglitazone,gender,readmitted,0.03545498596133591
num_lab_procedures,race,readmitted,0.025572840212733768
citoglipton,num_not_lab_procedures,num_previous_emergencies,0.06128647151254834
miglitol,num_lab_procedures,repaglinide,0.0294512267503559
age,repaglinide,glimepiride,0.009170188884403503
troglitazone,glimepiride,acarbose,0.009061183669535162
metformin-rosiglitazone,nateglinide,diabetes_med_prescribed,0.0886038209473593
change_in_meds,num_lab_procedures,chlorpropamide,0.07270472816850161
glimepiride-pioglitazone,gender,num_previous_emergencies,0.06423210690351742
num_lab_procedures,chlorpropamide,tolazamide,1.8363859454091159E-4
metformin-rosiglitazone,age,days_in_hospital,0.014744675171651057
glipizide-metformin,race,chlorpropamide,0.0231317479482596
number_diagnoses,num_current_medications,glipizide,0.0728507000944155
examide,num_current_medications,acetohexamide,0.19703731458893456
change_in_meds,nateglinide,glipizide,0.02263316715757664
acetohexamide,num_inpatient_overnight_stays,tolazamide,2.401838978253253E-4
metformin-pioglitazone,glimepiride,glyburide-metformin,0.006837573914508302
num_lab_procedures,glipizide,tolazamide,0.01570356457099033
diabetes_med_prescribed,days_in_hospital,glimepiride-pioglitazone,0.007249414197072184
examide,num_not_lab_procedures,chlorpropamide,0.0960488019716756
num_lab_procedures,num_previous_emergencies,tolbutamide,8.573545548096557E-5
change_in_meds,gender,insulin,0.004114380753196947
days_in_hospital,age,chlorpropamide,0.1026401568362173
age,glyburide,pioglitazone,0.024645742571585603
repaglinide,race,days_in_hospital,0.02776524760085675
num_not_lab_procedures,days_in_hospital,readmitted,0.01553033018881256
race,glimepiride,pioglitazone,0.042447455932789924
number_diagnoses,chlorpropamide,glimepiride-pioglitazone,1.1028769210447293E-4
metformin,num_not_lab_procedures,glyburide,0.03340107441212771
metformin-rosiglitazone,num_previous_emergencies,change_in_meds,0.07330617219953932
gender,number_diagnoses,readmitted,0.038644591893907086
metformin-rosiglitazone,num_inpatient_overnight_stays,glimepiride-pioglitazone,2.818534984148101E-4
race,repaglinide,readmitted,0.04299692616463062
glyburide-metformin,metformin,insulin,0.039878538883333564
rosiglitazone,num_lab_procedures,chlorpropamide,0.06815847349141703
rosiglitazone,glimepiride,glipizide,0.0594995133598976
glimepiride-pioglitazone,troglitazone,glipizide-metformin,2.0103305893956575E-5
metformin,days_in_hospital,num_current_medications,0.4219377111073034
glyburide,nateglinide,readmitted,0.027106097877510192
glimepiride,metformin,readmitted,0.03816236329559857
glyburide-metformin,glipizide-metformin,readmitted,0.021261460310389734
glimepiride-pioglitazone,repaglinide,glipizide,0.009868476650987286
examide,acetohexamide,acarbose,5.729199305439545E-4
rosiglitazone,days_in_hospital,num_not_lab_procedures,0.07181284071107029
citoglipton,race,acarbose,0.04357322937405098
glipizide,num_not_lab_procedures,num_current_medications,0.11169128860454493
citoglipton,num_not_lab_procedures,glipizide-metformin,0.03781064054650249
days_in_hospital,tolazamide,glipizide-metformin,6.624888647876521E-5
number_diagnoses,glyburide-metformin,diabetes_med_prescribed,0.045703400950941976
metformin,glimepiride,readmitted,0.030109273899244803
citoglipton,metformin,repaglinide,0.01083106183565717
acetohexamide,number_diagnoses,troglitazone,0.016588166725648786
metformin,days_in_hospital,num_lab_procedures,0.06937874203768271
insulin,age,change_in_meds,0.030696143788930666
metformin-rosiglitazone,num_lab_procedures,glipizide,0.019219625378778155
gender,repaglinide,pioglitazone,0.02559526157878373
glipizide-metformin,age,nateglinide,0.012195496504738376
num_current_medications,pioglitazone,metformin-pioglitazone,0.05821077132763369
glipizide,num_inpatient_overnight_stays,change_in_meds,0.05583323465132769
days_in_hospital,num_inpatient_overnight_stays,metformin,0.031283720788655406
readmitted,pioglitazone,tolazamide,0.009883374376437836
tolbutamide,repaglinide,diabetes_med_prescribed,0.04545681943763591
metformin-rosiglitazone,gender,glimepiride-pioglitazone,0.11538444945153473
tolazamide,metformin,change_in_meds,0.1675041246729203
num_inpatient_overnight_stays,repaglinide,glimepiride,0.00477679994868962
rosiglitazone,metformin,acarbose,0.04814186361019664
diabetes_med_prescribed,num_outpatient_appointments,glimepiride-pioglitazone,4.848173894379253E-5
num_lab_procedures,metformin,change_in_meds,0.2207077356401071
acarbose,num_current_medications,rosiglitazone,0.017370122675576527
num_lab_procedures,gender,age,0.03629532191148475
num_inpatient_overnight_stays,num_not_lab_procedures,metformin,0.038085583597061115
pioglitazone,age,rosiglitazone,0.04699260515002353
miglitol,age,acarbose,0.03868287041109521
metformin-pioglitazone,num_previous_emergencies,troglitazone,2.4500650701185794E-5
gender,num_previous_emergencies,repaglinide,0.002991071664904713
num_lab_procedures,glyburide,pioglitazone,0.0324374588895614
insulin,days_in_hospital,glipizide-metformin,0.01611869107807048
acetohexamide,glimepiride,tolazamide,0.006388270129911637
glipizide-metformin,race,glimepiride-pioglitazone,0.020578448205342974
num_not_lab_procedures,glyburide,miglitol,0.018625275148186387
